date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:05	59315/59315	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:48%20GMT	https://colorlib.com//polygon/admindek/default/dashboard-crm.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/dashboard-crm.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:06	50315/50315	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:48%20GMT	https://colorlib.com//polygon/admindek/default/dashboard-analytics.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/dashboard-analytics.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:06	46867/46867	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/menu-static.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/menu-static.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:06	46338/46338	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-header-fixed.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/menu-header-fixed.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:07	46658/46658	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:17%20GMT	https://colorlib.com//polygon/admindek/default/menu-compact.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/menu-compact.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:07	46297/46297	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:19%20GMT	https://colorlib.com//polygon/admindek/default/menu-sidebar.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/menu-sidebar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:08	56199/56199	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:19%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-static.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/menu-horizontal-static.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:08	45743/45743	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-fixed.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/menu-horizontal-fixed.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:08	46372/46372	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-icon.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/menu-horizontal-icon.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:08	46299/46299	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-icon-fixed.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/menu-horizontal-icon-fixed.html	(from https://colorlib.com//polygon/admindek/default/index.html)
